"Date","Price","Open","High","Low","Change %"
"Jan 08, 2021","103.96","103.81","104.09","103.61","0.16%"
"Jan 07, 2021","103.80","103.04","103.96","102.95","0.74%"
"Jan 06, 2021","103.04","102.75","103.45","102.58","0.31%"
"Jan 05, 2021","102.72","103.13","103.19","102.60","-0.37%"
"Jan 04, 2021","103.10","103.18","103.32","102.71","-0.10%"
"Jan 01, 2021","103.20","103.25","103.25","103.21","-0.00%"
"Dec 31, 2020","103.21","103.12","103.32","103.00","0.03%"
"Dec 30, 2020","103.17","103.58","103.61","102.96","-0.38%"
"Dec 29, 2020","103.56","103.79","103.85","103.46","-0.21%"
"Dec 28, 2020","103.78","103.54","103.90","103.39","0.29%"
"Dec 25, 2020","103.48","103.64","103.69","103.39","-0.14%"
"Dec 24, 2020","103.63","103.57","103.77","103.50","0.08%"
"Dec 23, 2020","103.55","103.64","103.66","103.36","-0.08%"
"Dec 22, 2020","103.63","103.32","103.75","103.28","0.32%"
"Dec 21, 2020","103.30","103.39","103.89","103.25","-0.01%"
"Dec 18, 2020","103.31","103.13","103.60","103.10","0.20%"
"Dec 17, 2020","103.10","103.50","103.57","102.88","-0.37%"
"Dec 16, 2020","103.48","103.67","103.92","103.26","-0.17%"
"Dec 15, 2020","103.66","104.04","104.15","103.60","-0.36%"
"Dec 14, 2020","104.03","104.00","104.11","103.51","0.02%"
"Dec 11, 2020","104.01","104.21","104.29","103.82","-0.18%"
"Dec 10, 2020","104.20","104.24","104.59","104.17","-0.01%"
"Dec 09, 2020","104.21","104.17","104.42","104.05","0.06%"
"Dec 08, 2020","104.15","104.06","104.22","103.95","0.09%"
"Dec 07, 2020","104.06","104.14","104.32","103.92","-0.08%"
"Dec 04, 2020","104.14","103.85","104.25","103.74","0.30%"
"Dec 03, 2020","103.83","104.39","104.54","103.67","-0.55%"
"Dec 02, 2020","104.40","104.32","104.76","104.22","0.10%"
"Dec 01, 2020","104.30","104.32","104.59","104.18","0.03%"
"Nov 30, 2020","104.27","104.07","104.42","103.82","0.16%"
"Nov 27, 2020","104.10","104.27","104.29","103.90","-0.14%"
"Nov 26, 2020","104.25","104.46","104.49","104.21","-0.19%"
"Nov 25, 2020","104.45","104.43","104.61","104.25","0.02%"
